"ACWolfsberger"	144
"AFCEskilstuna"	18
"AIK"	126
"Aalborg"	133
"Aalesund"	105
"Aarau"	46
"Aarhus"	102
"Admira"	159
"AkhmatGrozny"	135
"AlbirexNiigata"	116
"Aldosivi"	36
"AllBoys"	41
"Altach"	91
"AmericaMG"	33
"Amkar"	146
"ArgentinosJrs"	77
"ArkaGdynia"	29
"ArsenalSarandi"	96
"ArsenalTula"	79
"Astra"	99
"Athlone"	14
"Atl.Rafaela"	86
"Atl.SanLuis"	18
"Atl.Tucuman"	31
"AtlantaUnited"	26
"Atlante"	31
"Atlas"	107
"Atletico-MG"	150
"Atletico-PR"	120
"AtleticoGO"	42
"Atvidabergs"	68
"AustriaVienna"	155
"Avai"	36
"AvispaFukuoka"	23
"Bahia"	100
"Banfield"	51
"Basel"	146
"BeijingGuoan"	81
"BeijingRenhe"	45
"Belgrano"	90
"Bistrita"	15
"BocaJuniors"	118
"Bodo/Glimt"	59
"Bohemians"	126
"BotafogoRJ"	116
"Brann"	106
"Bray"	103
"Brommapojkarna"	52
"Brondby"	121
"C-Osaka"	79
"CFRCluj"	105
"CSKAMoscow"	141
"CSTurnuSeverin"	13
"CSU.Craiova"	69
"Calarasi"	2
"Ceahlaul"	57
"Ceara"	9
"ChacaritaJuniors"	7
"ChangchunYatai"	72
"Chapecoense-SC"	82
"Chiapas"	80
"ChicagoFire"	135
"ChindiaTargoviste"	0
"ChivasUSA"	64
"ChongqingLifan"	72
"ClubAmerica"	148
"ClubLeon"	125
"ClubTijuana"	132
"CobhRamblers"	2
"ColonSantaFE"	96
"ColoradoRapids"	124
"ColumbusCrew"	146
"Concordia"	123
"Corinthians"	145
"Coritiba"	123
"CorkCity"	111
"CoronaBrasov"	11
"Cracovia"	107
"Criciuma"	49
"CrucerodelNorte"	15
"CruzAzul"	120
"Cruzeiro"	145
"DCUnited"	152
"Daco-GeticaBucuresti"	0
"DalianYifangF.C."	25
"Dalkurd"	13
"DefensayJusticia"	63
"DerryCity"	113
"Din.Bucuresti"	103
"Djurgarden"	135
"DoradosdeSinaloa"	18
"Drogheda"	95
"Dundalk"	105
"DynamoMoscow"	122
"Elfsborg"	127
"Esbjerg"	104
"EstudiantesL.P."	104
"FCBotosani"	94
"FCBrasov"	49
"FCCopenhagen"	133
"FCDallas"	141
"FCHermannstadt"	3
"FCJuventusBucuresti"	15
"FCRapidBucuresti"	33
"FCSteauaBucuresti"	121
"FCTambov"	2
"FCTokyo"	104
"FKAnziMakhackala"	133
"FKKrylyaSovetovSamara"	86
"FKRostov"	142
"Falkenbergs"	58
"Figueirense"	84
"FinnHarps"	44
"FlamengoRJ"	142
"Fluminense"	146
"Fredrikstad"	17
"G-Osaka"	108
"GAIS"	14
"GKSBelchatow"	34
"Galway"	55
"GazMetanMedias"	101
"Gefle"	103
"GimnasiaL.P."	71
"GodoyCruz"	78
"Goias"	82
"GornikZ."	114
"Goteborg"	132
"Grasshoppers"	132
"Gremio"	149
